"Date","Total_Stable_Cap"
2025-01-28,216928285181
2025-01-29,217385746346
2025-01-30,217596957999
2025-01-31,218256562782
2025-02-01,218455297982
2025-02-02,218538308870
2025-02-03,218587607402
2025-02-04,219374469433
2025-02-05,222051413894
2025-02-06,223373931418
2025-02-07,223818420801
2025-02-08,224950101702
2025-02-09,225031718797
2025-02-10,225170762186
2025-02-11,225340132526
2025-02-12,225381304599
2025-02-13,225620900266
2025-02-14,225802033915
2025-02-15,226125861619
2025-02-16,226268946648
2025-02-17,226488723092
2025-02-18,226212139024
2025-02-19,226121604808
2025-02-20,226932674988
2025-02-21,226847231393
2025-02-22,227540893420
2025-02-23,227325818725
2025-02-24,227476345873
2025-02-25,226874207602
2025-02-26,225759348335
2025-02-27,225177413860
2025-02-28,225161346471
2025-03-01,226032239792
2025-03-02,225321535440
2025-03-03,225301666197
2025-03-04,225438430591
2025-03-05,225983312062
2025-03-06,226980107993
2025-03-07,227062875428
2025-03-08,228158110544
2025-03-09,228243600121
2025-03-10,228131178715
2025-03-11,227741734305
2025-03-12,228519466356
2025-03-13,228905841953
2025-03-14,229096993176
2025-03-15,229880901884
2025-03-16,230024790567
2025-03-17,229986039588
2025-03-18,230174803802
2025-03-19,230502140134
2025-03-20,231086392639
2025-03-21,230966122641
2025-03-22,231752488249
2025-03-23,232698950621
2025-03-24,233050253726
2025-03-25,234065976598
2025-03-26,235169756980
2025-03-27,235304008482
2025-03-28,234667415014
2025-03-29,234090413489
2025-03-30,234331224617
2025-03-31,234280359997
2025-04-01,234482506693
2025-04-02,234694398752
2025-04-03,235093001463
2025-04-04,235228590039
2025-04-05,234740041818
2025-04-06,234439352292
2025-04-07,233985200010
2025-04-08,233604922064
2025-04-09,233231576421
2025-04-10,233352338761
2025-04-11,233215133212
2025-04-12,233086923267
2025-04-13,233448462051
2025-04-14,233248483158
2025-04-15,233214398490
2025-04-16,233665967218
2025-04-17,233873583938
2025-04-18,234395500582
2025-04-19,233861505290
2025-04-20,233911644111
2025-04-21,234089508689
2025-04-22,234258292897
2025-04-23,235459611046
2025-04-24,235981504663
2025-04-25,237036149661
2025-04-26,237660904277
2025-04-27,238293846340
2025-04-28,239013370275
2025-04-29,239712171116
2025-04-30,241180558318
2025-05-01,241443031348
2025-05-02,241595190799
2025-05-03,242009915948
2025-05-04,242384151194
2025-05-05,242349797669
2025-05-06,242230388429
2025-05-07,241455689677
2025-05-08,241593575800
2025-05-09,242231928019
2025-05-10,242114218658
2025-05-11,242333204415
2025-05-12,242340949944
2025-05-13,241801338812
2025-05-14,241655195969
2025-05-15,242068304610
2025-05-16,242628688316
2025-05-17,243171324866
2025-05-18,243229088801
2025-05-19,243376340077
2025-05-20,243314587499
2025-05-21,243635195664
2025-05-22,244659945707
2025-05-23,245182899732
2025-05-24,245505979619
2025-05-25,245800229430
2025-05-26,245809475125
2025-05-27,246049062729
2025-05-28,245823269372
2025-05-29,245819342964
2025-05-30,245996577028
2025-05-31,246152829074
2025-06-01,246279761097
2025-06-02,246532178300
2025-06-03,247166214763
2025-06-04,247853456580
2025-06-05,248259559151
2025-06-06,248048037349
2025-06-07,248713663594
2025-06-08,249050714815
2025-06-09,249064344586
2025-06-10,249414859695
2025-06-11,249156371387
2025-06-12,249716927291
2025-06-13,249669631095
2025-06-14,250476235662
2025-06-15,250342978961
2025-06-16,250343752427
2025-06-17,250253487500
2025-06-18,250433347599
2025-06-19,250468503373
2025-06-20,250357108944
2025-06-21,250136197360
2025-06-22,250124339450
2025-06-23,250303511722
2025-06-24,249753988224
2025-06-25,251521813382
2025-06-26,251348306733
2025-06-27,251516649223
2025-06-28,251832635628
2025-06-29,252160684979
2025-06-30,252156075041
2025-07-01,252436561429
2025-07-02,252701295109
2025-07-03,253099356566
2025-07-04,253405556029
2025-07-05,253557849247
2025-07-06,253786353754
2025-07-07,253816961684
2025-07-08,253993865066
2025-07-09,253924548616
2025-07-10,254391044062
2025-07-11,255539216236
2025-07-12,256498056610
2025-07-13,256770065955
2025-07-14,256927551329
2025-07-15,256568742072
2025-07-16,255538105319
2025-07-17,258232245738
2025-07-18,259036778670
2025-07-19,259500666994
2025-07-20,259854885638
2025-07-21,260230805374
2025-07-22,260679793861
2025-07-23,261168600413
2025-07-24,262178016608
2025-07-25,263321813085
2025-07-26,263122159504
2025-07-27,263732040629
2025-07-28,264086538563
2025-07-29,264046832553
2025-07-30,264100899563
2025-07-31,264753188478
2025-08-01,265296404365
2025-08-02,265614268206
2025-08-03,265620780697
2025-08-04,266176304023
2025-08-05,266669761563
2025-08-06,266822029889
2025-08-07,266945968472
2025-08-08,267896624605
2025-08-09,268491313815
2025-08-10,269214061159
2025-08-11,268593131005
2025-08-12,269326835373
2025-08-13,270201765478
2025-08-14,271845531691
2025-08-15,273493489005
2025-08-16,275014904184
2025-08-17,274972260351
2025-08-18,275790510002
2025-08-19,275812585466
2025-08-20,275771442594
2025-08-21,276173313080
2025-08-22,275057591747
2025-08-23,274962197369
2025-08-24,276299879221
2025-08-25,276370506286
2025-08-26,278225992130
2025-08-27,278504023383
2025-08-28,279040806768
2025-08-29,281412367276
2025-08-30,281585567743
2025-08-31,281944346571
2025-09-01,282686293437
2025-09-02,282684245193
2025-09-03,281836399239
2025-09-04,283688206224
2025-09-05,286313792548
2025-09-06,284757884073
2025-09-07,284818343475
2025-09-08,284585046087
2025-09-09,284745707867
2025-09-10,285247331158
2025-09-11,285363251123
2025-09-12,286157339023
2025-09-13,287534917991
2025-09-14,288245602459
2025-09-15,288274245451
2025-09-16,288579485476
2025-09-17,289363051654
2025-09-18,289558133236
2025-09-19,290675270652
2025-09-20,291461630809
2025-09-21,291665329963
2025-09-22,291661009937
2025-09-23,292535744846
2025-09-24,293351615613
2025-09-25,294150180471
2025-09-26,294304336065
2025-09-27,295041971522
2025-09-28,295239371060
2025-09-29,295478566563
2025-09-30,296291148287
2025-10-01,297714221754
2025-10-02,298622919642
2025-10-03,299806658268
2025-10-04,301350640844
2025-10-05,301877717002
2025-10-06,301411993480
2025-10-07,302085456597
2025-10-08,302876451165
2025-10-09,302868392669
2025-10-10,303090508831
2025-10-11,303410533244
2025-10-12,302972158411
2025-10-13,303028740494
2025-10-14,303915664280
2025-10-15,305124464206
2025-10-16,305939900555
2025-10-17,306015698187
2025-10-18,306286156144
2025-10-19,306312014540
2025-10-20,306587643915
2025-10-21,306544425345
2025-10-22,307590159958
2025-10-23,306994717627
2025-10-24,307189992479
2025-10-25,307814045219
2025-10-26,307573235644
2025-10-27,307431903951
2025-10-28,307081050990
2025-10-29,307263058005
2025-10-30,306539844700
2025-10-31,306158802866
2025-11-01,306187170641
2025-11-02,306337960587
2025-11-03,306084774321
2025-11-04,306032881837
2025-11-05,304860768639
2025-11-06,304698930826
2025-11-07,303931080772
2025-11-08,304277513845
2025-11-09,303740576847
2025-11-10,303686570484
2025-11-11,303892997385
2025-11-12,304255369332
2025-11-13,304190351834
2025-11-14,303675773664
2025-11-15,302982651585
2025-11-16,302915558324
2025-11-17,302574373995
2025-11-18,302271454159
2025-11-19,302181287914
2025-11-20,301968617629
2025-11-21,301834894345
2025-11-22,301548466480
2025-11-23,301727067366
2025-11-24,301490549304
2025-11-25,302791867476
2025-11-26,303509034934
2025-11-27,304329130774
2025-11-28,304750122500
2025-11-29,305301696502
2025-11-30,305459660946
2025-12-01,305146696151
2025-12-02,305992388705
2025-12-03,306769908948
2025-12-04,306727074029
2025-12-05,307232360595
2025-12-06,307434706951
2025-12-07,307400525847
2025-12-08,307590597712
2025-12-09,307930596932
2025-12-10,308089291400
2025-12-11,308185912229
2025-12-12,309180102422
2025-12-13,309233928825
2025-12-14,309104891806
2025-12-15,308803346441
2025-12-16,308591463810
2025-12-17,308582829217
2025-12-18,308500801238
2025-12-19,307955678877
2025-12-20,308442453683
2025-12-21,309512694541
2025-12-22,308279245268
2025-12-23,308368647471
2025-12-24,307976279411
2025-12-25,307479796990
2025-12-26,307648654522
2025-12-27,307580757364
2025-12-28,307456886762
2025-12-29,307301097180
2025-12-30,307180359366
2025-12-31,306837664644
2026-01-01,306093127797
