"date","symbol","price","volume"
2023-06-26,"ETH",1859.43286132812,8619702292
2023-06-27,"ETH",1889.70336914062,7686042202
2023-06-28,"ETH",1827.97119140625,7135265016
2023-06-29,"ETH",1852.22729492188,5677228612
2023-06-30,"ETH",1933.18896484375,12895131248
2023-07-01,"ETH",1924.56591796875,5136809625
2023-07-02,"ETH",1937.43835449219,6343966490
2023-07-03,"ETH",1955.38916015625,7858509087
2023-07-04,"ETH",1936.63354492188,5683423776
2023-07-05,"ETH",1910.58801269531,6034088075
2023-07-06,"ETH",1848.63647460938,8905008384
2023-07-07,"ETH",1870.6025390625,6468885150
2023-07-08,"ETH",1865.53955078125,4299007854
2023-07-09,"ETH",1863.009765625,4392863807
2023-07-10,"ETH",1880.55639648438,6336468234
2023-07-11,"ETH",1878.33605957031,4905225892
2023-07-12,"ETH",1872.11376953125,6379007000
2023-07-13,"ETH",2006.51147460938,11114853969
2023-07-14,"ETH",1939.34704589844,10627449471
2023-07-15,"ETH",1931.46655273438,4380084234
2023-07-16,"ETH",1923.68188476562,4329306566
2023-07-17,"ETH",1911.64611816406,6678090758
2023-07-18,"ETH",1897.59924316406,5814708445
2023-07-19,"ETH",1889.00793457031,6018487800
2023-07-20,"ETH",1890.96911621094,7366830684
2023-07-21,"ETH",1892.080078125,4668158260
2023-07-22,"ETH",1864.91235351562,4101305643
2023-07-23,"ETH",1889.19165039062,4480604100
2023-07-24,"ETH",1850.00207519531,6344373569
2023-07-25,"ETH",1857.74194335938,4163381707
2023-07-26,"ETH",1872.15991210938,5781548155
2023-07-27,"ETH",1860.35717773438,4291339248
2023-07-28,"ETH",1874.74487304688,3800973336
2023-07-29,"ETH",1881.06884765625,2497302218
2023-07-30,"ETH",1861.64379882812,4003005547
2023-07-31,"ETH",1856.16235351562,4391613314
2023-08-01,"ETH",1871.79211425781,7634860636
2023-08-02,"ETH",1839.08972167969,6448512422
2023-08-03,"ETH",1835.13647460938,4710581074
2023-08-04,"ETH",1827.712890625,4861242484
2023-08-05,"ETH",1834.98791503906,2866049749
2023-08-06,"ETH",1827.46203613281,2963395076
2023-08-07,"ETH",1826.93884277344,5837881974
2023-08-08,"ETH",1855.80737304688,5812855406
2023-08-09,"ETH",1854.29760742188,5870081833
2023-08-10,"ETH",1850.75341796875,3760304518
2023-08-11,"ETH",1847.12438964844,3353025102
2023-08-12,"ETH",1848.88989257812,2291124840
2023-08-13,"ETH",1839.28015136719,3054625661
2023-08-14,"ETH",1844.18579101562,4083364724
2023-08-15,"ETH",1826.93273925781,4483923893
2023-08-16,"ETH",1805.65905761719,4976573383
2023-08-17,"ETH",1684.93347167969,14208462072
2023-08-18,"ETH",1660.94506835938,9645084584
2023-08-19,"ETH",1669.47192382812,4871231360
2023-08-20,"ETH",1684.85205078125,4105056995
2023-08-21,"ETH",1667.26904296875,5077248383
2023-08-22,"ETH",1633.892578125,7244623133
2023-08-23,"ETH",1679.2744140625,7191868448
2023-08-24,"ETH",1659.94458007812,5104531920
2023-08-25,"ETH",1652.93505859375,5396997823
2023-08-26,"ETH",1646.30676269531,2423247747
2023-08-27,"ETH",1657.51306152344,2624065031
2023-08-28,"ETH",1652.45739746094,4855588534
2023-08-29,"ETH",1729.72570800781,11304916729
2023-08-30,"ETH",1705.11218261719,5023904190
2023-08-31,"ETH",1645.63916015625,6593153505
2023-09-01,"ETH",1628.4912109375,6104510092
2023-09-02,"ETH",1637.025390625,2943590996
2023-09-03,"ETH",1636.11767578125,3151878318
2023-09-04,"ETH",1629.6552734375,3887968912
2023-09-05,"ETH",1633.62939453125,4417491902
2023-09-06,"ETH",1632.25231933594,4987397046
2023-09-07,"ETH",1647.59826660156,4907290296
2023-09-08,"ETH",1636.13781738281,4598495496
2023-09-09,"ETH",1635.16235351562,2081625742
2023-09-10,"ETH",1616.82885742188,4339499949
2023-09-11,"ETH",1551.6376953125,7693700923
2023-09-12,"ETH",1592.42944335938,6813819740
2023-09-13,"ETH",1607.98852539062,4979469106
2023-09-14,"ETH",1626.97436523438,5538958553
2023-09-15,"ETH",1641.64038085938,4348584771
2023-09-16,"ETH",1635.2216796875,2819575929
2023-09-17,"ETH",1622.89672851562,3032716258
2023-09-18,"ETH",1637.34704589844,5916674789
2023-09-19,"ETH",1643.54467773438,4405868861
2023-09-20,"ETH",1622.890625,5156431986
2023-09-21,"ETH",1584.30700683594,5191732312
2023-09-22,"ETH",1593.26831054688,3460791634
2023-09-23,"ETH",1593.85778808594,2101436678
2023-09-24,"ETH",1580.85339355469,3086456944
2023-09-25,"ETH",1588.32287597656,4394930984
2023-09-26,"ETH",1593.41723632812,3544861160
2023-09-27,"ETH",1597.4912109375,5533036096
2023-09-28,"ETH",1652.88269042969,6658092168
2023-09-29,"ETH",1667.94384765625,5529687537
2023-09-30,"ETH",1671.16186523438,3155292192
2023-10-01,"ETH",1733.81042480469,5054880180
2023-10-02,"ETH",1663.62756347656,8420552922
2023-10-03,"ETH",1656.68566894531,4742827302
2023-10-04,"ETH",1647.83813476562,5127524863
2023-10-05,"ETH",1611.47644042969,5403759057
2023-10-06,"ETH",1645.83154296875,4941208729
2023-10-07,"ETH",1634.51123046875,2578994988
2023-10-08,"ETH",1633.54858398438,3315554175
2023-10-09,"ETH",1579.806640625,7020801716
2023-10-10,"ETH",1567.71301269531,5254966125
2023-10-11,"ETH",1566.25476074219,5416504273
2023-10-12,"ETH",1539.61242675781,5003930677
2023-10-13,"ETH",1552.08947753906,4575141511
2023-10-14,"ETH",1555.2568359375,2429214718
2023-10-15,"ETH",1558.06982421875,2923337883
2023-10-16,"ETH",1600.53430175781,8846928526
2023-10-17,"ETH",1565.43957519531,5032686973
2023-10-18,"ETH",1563.74987792969,4354138855
2023-10-19,"ETH",1567.45703125,5035110867
2023-10-20,"ETH",1604.66687011719,6747486127
2023-10-21,"ETH",1629.30444335938,4212179634
2023-10-22,"ETH",1663.42993164062,5248406817
2023-10-23,"ETH",1765.38269042969,14362295879
2023-10-24,"ETH",1784.4375,15888690475
2023-10-25,"ETH",1787.39758300781,9439066475
2023-10-26,"ETH",1804.03930664062,11196672635
2023-10-27,"ETH",1780.04528808594,7493399771
2023-10-28,"ETH",1776.6181640625,4226112731
2023-10-29,"ETH",1795.54602050781,4358528382
2023-10-30,"ETH",1810.08862304688,7534051038
2023-10-31,"ETH",1816.458984375,6477922747
2023-11-01,"ETH",1847.08972167969,10628825648
2023-11-02,"ETH",1800.62097167969,9004197724
2023-11-03,"ETH",1832.79516601562,7622864055
2023-11-04,"ETH",1857.69860839844,4845080427
2023-11-05,"ETH",1894.15771484375,8867152645
2023-11-06,"ETH",1899.83740234375,8104122602
2023-11-07,"ETH",1888.12426757812,9203228152
2023-11-08,"ETH",1889.32238769531,6751627017
2023-11-09,"ETH",2120.56103515625,24709695029
2023-11-10,"ETH",2078.28979492188,14740624457
2023-11-11,"ETH",2052.7138671875,10228351203
2023-11-12,"ETH",2045.18701171875,7951011698
2023-11-13,"ETH",2055.26538085938,14322027970
2023-11-14,"ETH",1979.05261230469,13087862495
2023-11-15,"ETH",2060.40844726562,12626326991
2023-11-16,"ETH",1960.88159179688,14651619483
2023-11-17,"ETH",1961.28076171875,11881648738
2023-11-18,"ETH",1963.28503417969,8064677046
2023-11-19,"ETH",2013.20446777344,7716048818
2023-11-20,"ETH",2022.23913574219,12866464824
2023-11-21,"ETH",1937.06677246094,13653500841
2023-11-22,"ETH",2064.42529296875,13372200584
2023-11-23,"ETH",2062.21069335938,7828437946
2023-11-24,"ETH",2081.15209960938,12141148820
2023-11-25,"ETH",2084.4130859375,5362623390
2023-11-26,"ETH",2063.2861328125,8054814154
2023-11-27,"ETH",2027.41735839844,10574810069
2023-11-28,"ETH",2049.33813476562,9910633038
2023-11-29,"ETH",2029.92919921875,8945151861
2023-11-30,"ETH",2052.55615234375,8107789163
2023-12-01,"ETH",2087.13989257812,10866891430
2023-12-02,"ETH",2165.7041015625,9130124831
2023-12-03,"ETH",2193.69165039062,8278465782
2023-12-04,"ETH",2243.2158203125,16149367134
2023-12-05,"ETH",2293.841796875,15383072559
2023-12-06,"ETH",2231.66137695312,12790612571
2023-12-07,"ETH",2357.57958984375,14766891042
2023-12-08,"ETH",2358.73193359375,12543458699
2023-12-09,"ETH",2341.17529296875,10613312823
2023-12-10,"ETH",2352.46264648438,7369608905
2023-12-11,"ETH",2224.57885742188,17989249470
2023-12-12,"ETH",2202.0380859375,11391132228
2023-12-13,"ETH",2260.64868164062,12576395493
2023-12-14,"ETH",2316.5791015625,12608711052
2023-12-15,"ETH",2219.33740234375,10259157898
2023-12-16,"ETH",2226.92651367188,6866555430
2023-12-17,"ETH",2196.48120117188,7410453853
2023-12-18,"ETH",2217.2734375,10366536490
2023-12-19,"ETH",2177.87255859375,10619179629
2023-12-20,"ETH",2201.91137695312,12652290807
2023-12-21,"ETH",2239.54248046875,12616530536
2023-12-22,"ETH",2326.52490234375,16137246310
2023-12-23,"ETH",2309.04638671875,7995772945
2023-12-24,"ETH",2265.69213867188,9450799236
2023-12-25,"ETH",2272.56176757812,8036302656
2023-12-26,"ETH",2231.46533203125,10668581464
2023-12-27,"ETH",2378.73999023438,14161342927
2023-12-28,"ETH",2347.56616210938,15660799060
2023-12-29,"ETH",2300.69067382812,12536968996
2023-12-30,"ETH",2292.0654296875,6888195427
2023-12-31,"ETH",2281.47119140625,6871481744
2024-01-01,"ETH",2352.32788085938,6906765990
2024-01-02,"ETH",2355.83642578125,12910543630
2024-01-03,"ETH",2210.76196289062,19332933581
2024-01-04,"ETH",2269.0380859375,11044564896
2024-01-05,"ETH",2268.64721679688,10860953290
2024-01-06,"ETH",2241.62475585938,5970741680
2024-01-07,"ETH",2222.86596679688,6490053615
2024-01-08,"ETH",2333.03271484375,13830287095
2024-01-09,"ETH",2344.8271484375,14891130716
2024-01-10,"ETH",2582.103515625,29042100476
2024-01-11,"ETH",2619.619140625,22575246883
2024-01-12,"ETH",2524.46020507812,23623839263
2024-01-13,"ETH",2576.59790039062,12250316867
2024-01-14,"ETH",2472.2412109375,9405587417
2024-01-15,"ETH",2511.36376953125,9700630000
2024-01-16,"ETH",2587.69116210938,11063317095
2024-01-17,"ETH",2528.36938476562,10441017520
2024-01-18,"ETH",2467.01879882812,11900028080
2024-01-19,"ETH",2489.49853515625,11405278376
2024-01-20,"ETH",2469.58911132812,5297826161
2024-01-21,"ETH",2453.9130859375,4578471955
2024-01-22,"ETH",2310.82641601562,13923771728
2024-01-23,"ETH",2240.68603515625,16182147521
2024-01-24,"ETH",2233.56176757812,10134722960
2024-01-25,"ETH",2217.71020507812,9302247037
2024-01-26,"ETH",2267.19970703125,9975117607
2024-01-27,"ETH",2267.88598632812,5144367230
2024-01-28,"ETH",2257.20874023438,7296214994
2024-01-29,"ETH",2317.06420898438,8948195551
2024-01-30,"ETH",2344.49365234375,10173440062
2024-01-31,"ETH",2282.54443359375,10807883277
2024-02-01,"ETH",2303.82470703125,8895583113
2024-02-02,"ETH",2308.0380859375,7186143091
2024-02-03,"ETH",2296.03833007812,4647754021
2024-02-04,"ETH",2289.54614257812,5438100035
2024-02-05,"ETH",2298.88891601562,7277068110
2024-02-06,"ETH",2372.20190429688,9520885493
2024-02-07,"ETH",2423.7451171875,9660628536
2024-02-08,"ETH",2419.90649414062,9941841732
2024-02-09,"ETH",2487.515625,13634203177
2024-02-10,"ETH",2501.22827148438,6474444159
2024-02-11,"ETH",2507.57055664062,7347245813
2024-02-12,"ETH",2658.11596679688,13022696866
2024-02-13,"ETH",2642.18530273438,18271237044
2024-02-14,"ETH",2777.90234375,21448973822
2024-02-15,"ETH",2824.37890625,23734481937
2024-02-16,"ETH",2803.69140625,17057114638
2024-02-17,"ETH",2786.67260742188,17932379943
2024-02-18,"ETH",2878.998046875,23355830478
2024-02-19,"ETH",2943.57470703125,15163110589
2024-02-20,"ETH",3013.50366210938,20341598470
2024-02-21,"ETH",2970.35546875,18897136867
2024-02-22,"ETH",2971.00732421875,18058908246
2024-02-23,"ETH",2921.658203125,12822717059
2024-02-24,"ETH",2992.38598632812,10701688842
2024-02-25,"ETH",3112.697265625,14620450464
2024-02-26,"ETH",3178.99365234375,17504464351
2024-02-27,"ETH",3244.51928710938,21090315368
2024-02-28,"ETH",3385.70385742188,32885894265
2024-02-29,"ETH",3341.91967773438,28469171094
2024-03-01,"ETH",3435.05395507812,16880101987
2024-03-02,"ETH",3422.0498046875,12024340617
2024-03-03,"ETH",3490.99365234375,13643324467
2024-03-04,"ETH",3630.43383789062,26772963830
2024-03-05,"ETH",3554.96459960938,47706899137
2024-03-06,"ETH",3819.22631835938,34938642613
2024-03-07,"ETH",3874.34765625,22457177587
2024-03-08,"ETH",3892.06103515625,26135487051
2024-03-09,"ETH",3915.4189453125,11926623780
2024-03-10,"ETH",3881.19311523438,15783924355
2024-03-11,"ETH",4066.44506835938,28806262507
2024-03-12,"ETH",3980.27319335938,26917010932
2024-03-13,"ETH",4006.45703125,22028114691
2024-03-14,"ETH",3883.14038085938,25434810823
2024-03-15,"ETH",3735.22021484375,33505075433
2024-03-16,"ETH",3522.86010742188,20199855932
2024-03-17,"ETH",3642.4130859375,19938757095
2024-03-18,"ETH",3517.98510742188,21162220224
2024-03-19,"ETH",3157.6181640625,34166976701
2024-03-20,"ETH",3513.39306640625,36605316331
2024-03-21,"ETH",3492.9912109375,22213647922
2024-03-22,"ETH",3333.68798828125,20574952329
2024-03-23,"ETH",3336.59399414062,13242137554
2024-03-24,"ETH",3454.63647460938,12156660941
2024-03-25,"ETH",3590.8837890625,18603921705
2024-03-26,"ETH",3587.5048828125,18505553577
2024-03-27,"ETH",3500.115234375,18753082145
2024-03-28,"ETH",3561.2939453125,16419674157
2024-03-29,"ETH",3511.80615234375,12712701619
2024-03-30,"ETH",3507.9443359375,9389066783
